"country","team","overall_points_team","status","overall_points_country","percentage","flag","text"
"France","AS Monaco",0,"not out",1.33333333333333,0,":fr:","France: 1.333 points"
"France","Stade Rennais",0,"not out",1.33333333333333,0,":fr:","France: 1.333 points"
"France","FC Nantes",0,"not out",1.33333333333333,0,":fr:","France: 1.333 points"
"Portugal","Vitória Guimarães",0,"not out",1.33333333333333,0,":pt:","Portugal: 1.333 points"
"Portugal","FC Porto",0.666666666666667,"not out",1.33333333333333,0.5,":pt:","Portugal: 1.333 points"
"Portugal","Benfica",0,"not out",1.33333333333333,0,":pt:","Portugal: 1.333 points"
"Portugal","Sporting Braga",0,"not out",1.33333333333333,0,":pt:","Portugal: 1.333 points"
"Portugal","Gil Vicente",0,"not out",1.33333333333333,0,":pt:","Portugal: 1.333 points"
"Portugal","Sporting CP Lisbon",0.666666666666667,"not out",1.33333333333333,0.5,":pt:","Portugal: 1.333 points"
"Faroe Islands","HB Torshavn",0.25,"out",1.25,0.2,":fo:","Faroe Islands: 1.25 points"
"Faroe Islands","B36 Torshavn",0.25,"not out",1.25,0.2,":fo:","Faroe Islands: 1.25 points"
"Faroe Islands","Víkingur",0.5,"not out",1.25,0.4,":fo:","Faroe Islands: 1.25 points"
"Faroe Islands","KI Klaksvik",0.25,"not out",1.25,0.2,":fo:","Faroe Islands: 1.25 points"
"Slovakia","MFK Ruzomberok",0.375,"not out",1.25,0.3,":sk:","Slovakia: 1.25 points"
"Slovakia","Slovan Bratislava",0.375,"not out",1.25,0.3,":sk:","Slovakia: 1.25 points"
"Slovakia","Spartak Trnava",0,"not out",1.25,0,":sk:","Slovakia: 1.25 points"
"Slovakia","DAC Dunajska Streda",0.5,"not out",1.25,0.4,":sk:","Slovakia: 1.25 points"
"Slovenia","NK Maribor",0.375,"not out",1.25,0.3,":si:","Slovenia: 1.25 points"
"Slovenia","Olimpija Ljubljana",0.375,"not out",1.25,0.3,":si:","Slovenia: 1.25 points"
"Slovenia","NK Koper",0,"not out",1.25,0,":si:","Slovenia: 1.25 points"
"Slovenia","Mura Murska Sobota",0.5,"not out",1.25,0.4,":si:","Slovenia: 1.25 points"
"Finland","KuPS Kuopio",0.375,"not out",1.125,0.333333333333333,":fi:","Finland: 1.125 points"
"Finland","Inter Turku",0.25,"out",1.125,0.222222222222222,":fi:","Finland: 1.125 points"
"Finland","HJK Helsinki",0.25,"not out",1.125,0.222222222222222,":fi:","Finland: 1.125 points"
"Finland","SJK Seinäjoki",0.25,"not out",1.125,0.222222222222222,":fi:","Finland: 1.125 points"
"Moldova","Sfântul Gheorghe",0,"out",1.125,0,":md:","Moldova: 1.125 points"
"Moldova","Petrocub Hîncesti",0.375,"not out",1.125,0.333333333333333,":md:","Moldova: 1.125 points"
"Moldova","Milsami Orhei",0.375,"not out",1.125,0.333333333333333,":md:","Moldova: 1.125 points"
"Moldova","Sheriff Tiraspol",0.375,"not out",1.125,0.333333333333333,":md:","Moldova: 1.125 points"
"Latvia","FK Liepaja",0.25,"not out",1,0.25,":lv:","Latvia: 1 points"
"Latvia","RFS Riga",0.25,"not out",1,0.25,":lv:","Latvia: 1 points"
"Latvia","Riga FC",0.5,"not out",1,0.5,":lv:","Latvia: 1 points"
"Latvia","Valmieras FK",0,"not out",1,0,":lv:","Latvia: 1 points"
"Poland","Lechia Gdansk",0.5,"not out",1,0.5,":pl:","Poland: 1 points"
"Poland","Lech Poznan",0.25,"not out",1,0.25,":pl:","Poland: 1 points"
"Poland","Raków Czestochowa",0,"not out",1,0,":pl:","Poland: 1 points"
"Poland","Pogon Szczecin",0.25,"not out",1,0.25,":pl:","Poland: 1 points"
"Wales","Newtown",0.333333333333333,"not out",1,0.333333333333333,":gb-wls:","Wales: 1 points"
"Wales","Bala Town",0.333333333333333,"out",1,0.333333333333333,":gb-wls:","Wales: 1 points"
"Wales","The New Saints",0.333333333333333,"not out",1,0.333333333333333,":gb-wls:","Wales: 1 points"
"Bosnia-Herzegovina","Tuzla City",0.5,"not out",0.875,0.571428571428571,":ba:","Bosnia-Herzegovina: 0.875 points"
"Bosnia-Herzegovina","FK Borac Banja Luka",0.25,"out",0.875,0.285714285714286,":ba:","Bosnia-Herzegovina: 0.875 points"
"Bosnia-Herzegovina","Zrinjski Mostar",0.125,"not out",0.875,0.142857142857143,":ba:","Bosnia-Herzegovina: 0.875 points"
"Bosnia-Herzegovina","Velez Mostar",0,"not out",0.875,0,":ba:","Bosnia-Herzegovina: 0.875 points"
"Gibraltar","St Joseph's FC",0.375,"not out",0.875,0.428571428571429,":gi:","Gibraltar: 0.875 points"
"Gibraltar","Lincoln Red Imps",0.25,"not out",0.875,0.285714285714286,":gi:","Gibraltar: 0.875 points"
"Gibraltar","Europa FC",0,"out",0.875,0,":gi:","Gibraltar: 0.875 points"
"Gibraltar","FCB Magpies",0.25,"out",0.875,0.285714285714286,":gi:","Gibraltar: 0.875 points"
"Malta","Floriana",0.125,"out",0.875,0.142857142857143,":mt:","Malta: 0.875 points"
"Malta","Hamrun Spartans",0.25,"not out",0.875,0.285714285714286,":mt:","Malta: 0.875 points"
"Malta","Gzira United",0.375,"not out",0.875,0.428571428571429,":mt:","Malta: 0.875 points"
"Malta","Hibernians FC",0.125,"not out",0.875,0.142857142857143,":mt:","Malta: 0.875 points"
"Austria","FC Salzburg",0.8,"not out",0.8,1,":at:","Austria: 0.8 points"
"Austria","Austria Wien",0,"not out",0.8,0,":at:","Austria: 0.8 points"
"Austria","Rapid Wien",0,"not out",0.8,0,":at:","Austria: 0.8 points"
"Austria","Wolfsberger AC",0,"not out",0.8,0,":at:","Austria: 0.8 points"
"Austria","Sturm Graz",0,"not out",0.8,0,":at:","Austria: 0.8 points"
"Belgium","Royal Antwerp",0,"not out",0.8,0,":be:","Belgium: 0.8 points"
"Belgium","AA Gent",0,"not out",0.8,0,":be:","Belgium: 0.8 points"
"Belgium","Club Brugge",0.8,"not out",0.8,1,":be:","Belgium: 0.8 points"
"Belgium","Anderlecht",0,"not out",0.8,0,":be:","Belgium: 0.8 points"
"Belgium","Union Saint-Gilloise",0,"not out",0.8,0,":be:","Belgium: 0.8 points"
"Netherlands","Ajax",0.8,"not out",0.8,1,":nl:","Netherlands: 0.8 points"
"Netherlands","PSV Eindhoven",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points"
"Netherlands","FC Twente Enschede",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points"
"Netherlands","Feyenoord",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points"
"Netherlands","AZ Alkmaar",0,"not out",0.8,0,":nl:","Netherlands: 0.8 points"
"Scotland","Celtic",0.8,"not out",0.8,1,":gb-sct:","Scotland: 0.8 points"
"Scotland","Dundee United",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points"
"Scotland","Hearts FC",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points"
"Scotland","Motherwell",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points"
"Scotland","Rangers",0,"not out",0.8,0,":gb-sct:","Scotland: 0.8 points"
"Ukraine","Shakhtar Donetsk",0.8,"not out",0.8,1,":ua:","Ukraine: 0.8 points"
"Ukraine","Vorskla Poltava",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points"
"Ukraine","SC Dnipro-1",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points"
"Ukraine","Dinamo Kyiv",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points"
"Ukraine","Zorya Luhansk",0,"not out",0.8,0,":ua:","Ukraine: 0.8 points"
"Georgia","Dinamo Tbilisi",0.25,"out",0.75,0.333333333333333,":ge:","Georgia: 0.75 points"
"Georgia","Dinamo Batumi",0.125,"not out",0.75,0.166666666666667,":ge:","Georgia: 0.75 points"
"Georgia","Saburtalo Tbilisi",0.25,"not out",0.75,0.333333333333333,":ge:","Georgia: 0.75 points"
"Georgia","Dila Gori",0.125,"out",0.75,0.166666666666667,":ge:","Georgia: 0.75 points"
"Kosovo","KF Llapi",0.125,"out",0.75,0.166666666666667,":xk:","Kosovo: 0.75 points"
"Kosovo","FC Drita",0.25,"not out",0.75,0.333333333333333,":xk:","Kosovo: 0.75 points"
"Kosovo","SC Gjilani",0.25,"out",0.75,0.333333333333333,":xk:","Kosovo: 0.75 points"
"Kosovo","FC Ballkani",0.125,"not out",0.75,0.166666666666667,":xk:","Kosovo: 0.75 points"
"Estonia","Flora Tallinn",0.333333333333333,"out",0.666666666666667,0.5,":ee:","Estonia: 0.667 points"
"Estonia","Paide Linnameeskond",0.333333333333333,"not out",0.666666666666667,0.5,":ee:","Estonia: 0.667 points"
"Estonia","Levadia Tallinn",0,"not out",0.666666666666667,0,":ee:","Estonia: 0.667 points"
"San Marino","Tre Penne",0,"out",0.666666666666667,0,":sm:","San Marino: 0.667 points"
"San Marino","Tre Fiori",0.666666666666667,"not out",0.666666666666667,1,":sm:","San Marino: 0.667 points"
"San Marino","La Fiorita",0,"not out",0.666666666666667,0,":sm:","San Marino: 0.667 points"
"Albania","Vllaznia Shkodër",0,"not out",0.625,0,":al:","Albania: 0.625 points"
"Albania","Partizani Tirana",0.25,"out",0.625,0.4,":al:","Albania: 0.625 points"
"Albania","KF Tirana",0,"not out",0.625,0,":al:","Albania: 0.625 points"
"Albania","KF Laçi",0.375,"not out",0.625,0.6,":al:","Albania: 0.625 points"
"Armenia","Alashkert FC",0.25,"out",0.625,0.4,":am:","Armenia: 0.625 points"
"Armenia","Ararat Yerevan",0.125,"out",0.625,0.2,":am:","Armenia: 0.625 points"
"Armenia","Ararat-Armenia",0,"not out",0.625,0,":am:","Armenia: 0.625 points"
"Armenia","Pyunik Yerevan",0.25,"not out",0.625,0.4,":am:","Armenia: 0.625 points"
"Ireland","St. Patrick's Athletic",0,"not out",0.625,0,":ie:","Ireland: 0.625 points"
"Ireland","Sligo Rovers",0.25,"not out",0.625,0.4,":ie:","Ireland: 0.625 points"
"Ireland","Shamrock Rovers",0.375,"not out",0.625,0.6,":ie:","Ireland: 0.625 points"
"Ireland","Derry City",0,"out",0.625,0,":ie:","Ireland: 0.625 points"
"Lithuania","Zalgiris Vilnius",0.375,"not out",0.625,0.6,":lt:","Lithuania: 0.625 points"
"Lithuania","Suduva Marijampole",0,"not out",0.625,0,":lt:","Lithuania: 0.625 points"
"Lithuania","Kauno Zalgiris",0.125,"out",0.625,0.2,":lt:","Lithuania: 0.625 points"
"Lithuania","FK Panevezys",0.125,"out",0.625,0.2,":lt:","Lithuania: 0.625 points"
"Luxembourg","Racing Union Luxembourg",0,"not out",0.625,0,":lu:","Luxembourg: 0.625 points"
"Luxembourg","CS Fola Esch",0,"out",0.625,0,":lu:","Luxembourg: 0.625 points"
"Luxembourg","Differdange 03",0.125,"out",0.625,0.2,":lu:","Luxembourg: 0.625 points"
"Luxembourg","F91 Dudelange",0.5,"not out",0.625,0.8,":lu:","Luxembourg: 0.625 points"
"Montenegro","Iskra Danilovgrad",0.125,"out",0.625,0.2,":me:","Montenegro: 0.625 points"
"Montenegro","Sutjeska Niksic",0,"not out",0.625,0,":me:","Montenegro: 0.625 points"
"Montenegro","Buducnost Podgorica",0.375,"not out",0.625,0.6,":me:","Montenegro: 0.625 points"
"Montenegro","Decic Tuzi",0.125,"out",0.625,0.2,":me:","Montenegro: 0.625 points"
"North Macedonia","FK Shkupi",0.25,"not out",0.625,0.4,":mk:","North Macedonia: 0.625 points"
"North Macedonia","Makedonija GjP",0,"not out",0.625,0,":mk:","North Macedonia: 0.625 points"
"North Macedonia","Akademija Pandev",0,"out",0.625,0,":mk:","North Macedonia: 0.625 points"
"North Macedonia","Shkendija Tetovo",0.375,"not out",0.625,0.6,":mk:","North Macedonia: 0.625 points"
"Northern Ireland","Cliftonville",0,"out",0.625,0,":gb-nir:","Northern Ireland: 0.625 points"
"Northern Ireland","Crusaders Belfast",0.25,"not out",0.625,0.4,":gb-nir:","Northern Ireland: 0.625 points"
"Northern Ireland","Larne FC",0.125,"out",0.625,0.2,":gb-nir:","Northern Ireland: 0.625 points"
"Northern Ireland","Linfield Belfast",0.25,"not out",0.625,0.4,":gb-nir:","Northern Ireland: 0.625 points"
"Andorra","UE Santa Coloma",0,"out",0.5,0,":ad:","Andorra: 0.5 points"
"Andorra","Inter Club d'Escaldes",0.333333333333333,"not out",0.5,0.666666666666667,":ad:","Andorra: 0.5 points"
"Andorra","Atlètic Club d'Escaldes",0.166666666666667,"out",0.5,0.333333333333333,":ad:","Andorra: 0.5 points"
"Belarus","Shakhtior Saligorsk",0.125,"not out",0.5,0.25,":by:","Belarus: 0.5 points"
"Belarus","Dinamo Minsk",0.375,"not out",0.5,0.75,":by:","Belarus: 0.5 points"
"Belarus","BATE Borisov",0,"not out",0.5,0,":by:","Belarus: 0.5 points"
"Belarus","FC Gomel",0,"not out",0.5,0,":by:","Belarus: 0.5 points"
"Bulgaria","CSKA Sofia",0,"not out",0.5,0,":bg:","Bulgaria: 0.5 points"
"Bulgaria","Botev Plovdiv",0,"not out",0.5,0,":bg:","Bulgaria: 0.5 points"
"Bulgaria","Ludogorets Razgrad",0.5,"not out",0.5,1,":bg:","Bulgaria: 0.5 points"
"Bulgaria","Levski Sofia",0,"not out",0.5,0,":bg:","Bulgaria: 0.5 points"
"Hungary","Ferencváros",0.375,"not out",0.375,1,":hu:","Hungary: 0.375 points"
"Hungary","Puskás Akadémia",0,"not out",0.375,0,":hu:","Hungary: 0.375 points"
"Hungary","FC Fehérvár",0,"not out",0.375,0,":hu:","Hungary: 0.375 points"
"Hungary","Kisvárda FC",0,"not out",0.375,0,":hu:","Hungary: 0.375 points"
"Sweden","Djurgårdens IF",0,"not out",0.375,0,":se:","Sweden: 0.375 points"
"Sweden","IF Elfsborg",0,"not out",0.375,0,":se:","Sweden: 0.375 points"
"Sweden","Malmö FF",0.375,"not out",0.375,1,":se:","Sweden: 0.375 points"
"Sweden","AIK Stockholm",0,"not out",0.375,0,":se:","Sweden: 0.375 points"
"Azerbaijan","Qarabag FK",0.25,"not out",0.25,1,":az:","Azerbaijan: 0.25 points"
"Azerbaijan","Neftchi Baku",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points"
"Azerbaijan","Gabala FK",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points"
"Azerbaijan","Zira FK",0,"not out",0.25,0,":az:","Azerbaijan: 0.25 points"
"Norway","Bodø/Glimt",0.25,"not out",0.25,1,":no:","Norway: 0.25 points"
"Norway","Viking Stavanger",0,"not out",0.25,0,":no:","Norway: 0.25 points"
"Norway","Molde FK",0,"not out",0.25,0,":no:","Norway: 0.25 points"
"Norway","Lillestrøm SK",0,"not out",0.25,0,":no:","Norway: 0.25 points"
"Romania","Sepsi OSK",0,"not out",0.25,0,":ro:","Romania: 0.25 points"
"Romania","CFR Cluj",0.25,"not out",0.25,1,":ro:","Romania: 0.25 points"
"Romania","FCSB",0,"not out",0.25,0,":ro:","Romania: 0.25 points"
"Romania","Universitatea Craiova",0,"not out",0.25,0,":ro:","Romania: 0.25 points"
"Kazakhstan","FK Astana",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points"
"Kazakhstan","Kairat Almaty",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points"
"Kazakhstan","FK Kyzylzhar",0,"not out",0.125,0,":kz:","Kazakhstan: 0.125 points"
"Kazakhstan","Tobol Kustanai",0.125,"not out",0.125,1,":kz:","Kazakhstan: 0.125 points"
"Croatia","NK Osijek",0,"not out",0,,":hr:","Croatia: 0 points"
"Croatia","NK Rijeka",0,"not out",0,,":hr:","Croatia: 0 points"
"Croatia","GNK Dinamo",0,"not out",0,,":hr:","Croatia: 0 points"
"Croatia","Hajduk Split",0,"not out",0,,":hr:","Croatia: 0 points"
"Cyprus","Aris Limassol",0,"not out",0,,":cy:","Cyprus: 0 points"
"Cyprus","Apollon Limassol",0,"not out",0,,":cy:","Cyprus: 0 points"
"Cyprus","AEK Larnaca",0,"not out",0,,":cy:","Cyprus: 0 points"
"Cyprus","Omonia Nicosia",0,"not out",0,,":cy:","Cyprus: 0 points"
"Cyprus","APOEL Nicosia",0,"not out",0,,":cy:","Cyprus: 0 points"
"Czech Republic","1.FC Slovácko",0,"not out",0,,":cz:","Czech Republic: 0 points"
"Czech Republic","Slavia Praha",0,"not out",0,,":cz:","Czech Republic: 0 points"
"Czech Republic","Viktoria Plzen",0,"not out",0,,":cz:","Czech Republic: 0 points"
"Czech Republic","Sparta Praha",0,"not out",0,,":cz:","Czech Republic: 0 points"
"Denmark","Viborg FF",0,"not out",0,,":dk:","Denmark: 0 points"
"Denmark","FC København",0,"not out",0,,":dk:","Denmark: 0 points"
"Denmark","FC Midtjylland",0,"not out",0,,":dk:","Denmark: 0 points"
"Denmark","Brøndby IF",0,"not out",0,,":dk:","Denmark: 0 points"
"Denmark","Silkeborg IF",0,"not out",0,,":dk:","Denmark: 0 points"
"Greece","Olympiakos Piraeus",0,"not out",0,,":gr:","Greece: 0 points"
"Greece","PAOK Thessaloniki",0,"not out",0,,":gr:","Greece: 0 points"
"Greece","Panathinaikos",0,"not out",0,,":gr:","Greece: 0 points"
"Greece","Aris Thessaloniki",0,"not out",0,,":gr:","Greece: 0 points"
"Israel","Maccabi Tel-Aviv",0,"not out",0,,":il:","Israel: 0 points"
"Israel","Maccabi Netanya",0,"not out",0,,":il:","Israel: 0 points"
"Israel","Maccabi Haifa",0,"not out",0,,":il:","Israel: 0 points"
"Israel","Hapoel Beer-Sheva",0,"not out",0,,":il:","Israel: 0 points"
"Liechtenstein","FC Vaduz",0,"not out",0,,":li:","Liechtenstein: 0 points"
"Serbia","Cukaricki Belgrade",0,"not out",0,,":rs:","Serbia: 0 points"
"Serbia","Partizan Belgrade",0,"not out",0,,":rs:","Serbia: 0 points"
"Serbia","Radnicki Nis",0,"not out",0,,":rs:","Serbia: 0 points"
"Serbia","Crvena zvezda",0,"not out",0,,":rs:","Serbia: 0 points"
"Switzerland","FC Lugano",0,"not out",0,,":ch:","Switzerland: 0 points"
"Switzerland","FC Zürich",0,"not out",0,,":ch:","Switzerland: 0 points"
"Switzerland","Young Boys",0,"not out",0,,":ch:","Switzerland: 0 points"
"Switzerland","FC Basel",0,"not out",0,,":ch:","Switzerland: 0 points"
"Turkey","Fenerbahçe",0,"not out",0,,":tr:","Turkey: 0 points"
"Turkey","Konyaspor",0,"not out",0,,":tr:","Turkey: 0 points"
"Turkey","Sivasspor",0,"not out",0,,":tr:","Turkey: 0 points"
"Turkey","Istanbul Basaksehir",0,"not out",0,,":tr:","Turkey: 0 points"
"Turkey","Trabzonspor",0,"not out",0,,":tr:","Turkey: 0 points"
